sample_id,label,dataset_source,owner,repo,repo_key,vulnerable_hash,file_name,raw_url,patch_signif,patch_count,path_depth,path_len,filename_len,token_count_in_path,raw_url_len,is_test_like,is_internal_path,is_pkg_path,is_cmd_path,has_auth_kw,has_crypto_kw,has_network_kw,has_storage_kw,has_parser_kw,has_input_kw,has_exec_kw,has_security_kw,repo_rows_in_dataset,owner_rows_in_dataset,files_in_same_fix_commit,rows_in_same_dir_in_dataset,same_file_occurrences_in_dataset,repo_positive_ratio_in_dataset
bd29b891ab2a,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/kubectl/pkg/describe/describe.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fkubectl%2Fpkg%2Fdescribe%2Fdescribe.go,"['@@ -148,11 +149,13 @@']",1,6,51,11,9,149,0,0,1,0,0,0,0,0,0,0,0,0,246,268,9,2,1,0.3048780487804878
553d4703370e,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/kubectl/pkg/describe/describe_test.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fkubectl%2Fpkg%2Fdescribe%2Fdescribe_test.go,"['@@ -5507,3 +5507,22 @@']",1,6,56,16,10,154,1,0,1,0,0,0,0,0,0,0,0,0,246,268,9,2,1,0.3048780487804878
7326c1176c88,1,vulnerable,kataras,iris,kataras/iris,25ad31be505a70189af6bb22804ad559d3dc6df6,context/context.go,https://github.com/kataras/iris/raw/e213dba0d32ff66653e0ef124bc5088817264b08/context%2Fcontext.go,"['@@ -2032,13 +2032,7 @@', '@@ -2100,13 +2094,9 @@']",2,1,18,10,3,97,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.0
8aaf5aed0c01,1,vulnerable,navidrome,navidrome,navidrome/navidrome,8c707b4e0ccfb5f05cea3c69a8ef51d0a63e15f1,model/criteria/criteria.go,https://github.com/navidrome/navidrome/raw/9e79b5cbf2a48c1e4344df00fea4ed3844ea965d/model%2Fcriteria%2Fcriteria.go,"['@@ -38,7 +38,11 @@']",1,2,26,11,4,114,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2,1,1,1.0
38bf85887934,1,vulnerable,navidrome,navidrome,navidrome/navidrome,8c707b4e0ccfb5f05cea3c69a8ef51d0a63e15f1,scanner/tag_scanner.go,https://github.com/navidrome/navidrome/raw/9e79b5cbf2a48c1e4344df00fea4ed3844ea965d/scanner%2Ftag_scanner.go,[],0,1,22,14,4,108,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2,1,1,1.0
a5863fd1ea0a,1,vulnerable,containerd,containerd,containerd/containerd,66fec3bbbf91520a1433faa16e99e5a314a61902,pkg/cri/opts/spec_linux.go,https://github.com/containerd/containerd/raw/a731039238c62be081eb8c31525b988415745eea/pkg%2Fcri%2Fopts%2Fspec_linux.go,"['@@ -242,6 +242,30 @@']",1,3,26,13,6,118,0,0,1,0,0,0,0,0,0,0,0,0,33,34,2,1,1,1.0
eeec3db643ba,1,vulnerable,containerd,containerd,containerd/containerd,66fec3bbbf91520a1433faa16e99e5a314a61902,pkg/cri/server/container_create_linux.go,https://github.com/containerd/containerd/raw/a731039238c62be081eb8c31525b988415745eea/pkg%2Fcri%2Fserver%2Fcontainer_create_linux.go,[],0,3,40,25,7,132,0,0,1,0,0,0,1,0,0,0,0,0,33,34,2,2,2,1.0
a52143897f6a,1,vulnerable,dweomer,containerd,dweomer/containerd,1650b138f713aa6962885ce431e627c6d875f3cf,pkg/cri/opts/spec_linux.go,https://github.com/dweomer/containerd/raw/f7f08f0e34fb97392b0d382e58916d6865100299/pkg%2Fcri%2Fopts%2Fspec_linux.go,"['@@ -225,30 +225,6 @@']",1,3,26,13,6,115,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1.0
c19ab06b8a20,1,vulnerable,dweomer,containerd,dweomer/containerd,1650b138f713aa6962885ce431e627c6d875f3cf,pkg/cri/server/container_create_linux.go,https://github.com/dweomer/containerd/raw/f7f08f0e34fb97392b0d382e58916d6865100299/pkg%2Fcri%2Fserver%2Fcontainer_create_linux.go,[],0,3,40,25,7,129,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,1,1,1.0
61b4c3c152df,1,vulnerable,elastic,beats,elastic/beats,6df850c259b98c00428527da5769f0a578ad91ac,packetbeat/protos/pgsql/parse.go,https://github.com/elastic/beats/raw/aeca65779d573976981587ca1d1461399e1b59dd/packetbeat%2Fprotos%2Fpgsql%2Fparse.go,"['@@ -377,6 +377,9 @@']",1,3,32,8,5,116,0,0,0,0,0,0,0,1,1,0,1,0,8,8,1,1,1,1.0
