loc,func_cnt,ccn,avg_ccn,max_ccn,token_count,avg_params,file_commits,unique_authors,file_age_days,security_touch_ratio,is_vuln
1884,112,128,1.143,3,6854,1.116,99,38,3584,0.0101,0
997,94,314,3.34,22,5072,2.553,245,92,5521,0.0163,0
119,21,21,1.0,1,475,1.286,12,4,1944,0.0,0
245,17,84,4.941,19,2079,1.647,64,13,1826,0.0,0
144,26,29,1.115,3,686,1.192,13,5,606,0.0,0
1559,93,134,1.441,9,14684,1.269,29,17,324,0.0,0
3644,322,367,1.14,10,24414,1.081,121,59,670,0.0579,0
25,2,3,1.5,2,67,1.0,2,1,61,0.0,0
1362,97,362,3.732,30,7984,3.041,360,102,3343,0.05,0
73,2,22,11.0,20,312,3.0,36,10,3083,0.0,0
648,80,188,2.35,14,3250,1.625,184,62,5908,0.0272,0
13,0,0,0.0,0,100,0.0,32,13,1531,0.1875,1
89,5,19,3.8,10,521,2.4,2,2,6,0.0,0
11,1,1,1.0,1,34,1.0,1,1,537,0.0,0
120,21,47,2.238,5,679,1.476,22,14,1220,0.0,0
17,2,2,1.0,1,172,1.0,13,5,2228,0.0,0
325,32,32,1.0,1,1757,1.0,25,11,732,0.0,0
322,47,118,2.511,14,1899,1.596,5,1,85,0.0,0
125,15,26,1.733,4,531,2.733,5,4,481,0.0,0
183,6,8,1.333,3,766,1.0,13,5,212,0.0,0
108,15,20,1.333,5,576,1.067,32,19,1457,0.0,0
79,8,42,5.25,34,621,1.625,10,4,1615,0.0,0
1104,107,311,2.907,13,6329,2.477,292,85,5297,0.0616,0
30,4,5,1.25,2,144,2.25,3,3,525,0.0,0
97,17,39,2.294,13,674,1.882,46,23,4867,0.0652,0
107,8,35,4.375,16,617,1.75,3,1,5,0.0,0
70,4,4,1.0,1,223,1.0,1,1,0,0.0,0
12,1,2,2.0,2,70,2.0,3,2,599,0.0,0
27,0,0,0.0,0,270,0.0,13,9,4203,0.0,0
191,39,63,1.615,10,1385,1.385,8,5,1509,0.0,0
176,21,55,2.619,7,960,2.476,29,20,1520,0.0,0
55,12,12,1.0,1,262,1.0,2,2,3,0.0,0
35,11,13,1.182,2,461,2.727,8,2,179,0.0,0
76,23,29,1.261,3,708,1.913,22,1,475,0.0,0
120,16,16,1.0,1,619,1.062,10,3,378,0.0,0
190,23,50,2.174,7,944,2.87,61,31,5344,0.1148,1
210,7,32,4.571,12,824,4.857,30,15,5977,0.0,0
111,12,45,3.75,21,674,1.833,46,16,3143,0.0,0
141,3,43,14.333,17,839,11.333,23,4,709,0.0,0
291,40,78,1.95,7,1912,2.25,37,17,801,0.0541,0
30,1,1,1.0,1,2957,1.0,8,4,277,0.0,0
107,23,25,1.087,2,543,1.13,1,1,6,0.0,0
76,8,12,1.5,4,305,2.75,8,8,1104,0.0,0
57,7,7,1.0,1,248,1.286,16,12,4328,0.0,0
63,6,6,1.0,1,243,1.0,4,4,2061,0.0,1
27,0,0,0.0,0,92,0.0,2,2,519,0.0,0
223,34,36,1.059,3,1273,1.0,20,5,1273,0.05,0
41,8,8,1.0,1,275,1.0,4,3,410,0.25,1
69,8,11,1.375,2,400,1.0,12,6,1303,0.0,0
807,100,113,1.13,7,4324,1.13,27,14,554,0.1111,0
1104,95,272,2.863,13,6462,2.326,110,51,3739,0.0,0
130,12,51,4.25,13,1161,1.667,86,34,4612,0.0581,0
270,33,43,1.303,4,1568,1.697,28,8,711,0.1786,0
622,32,215,6.719,27,3798,2.5,63,6,655,0.0159,0
200,37,39,1.054,2,1372,0.973,4,2,318,0.75,1
61,3,12,4.0,9,257,2.333,21,15,3741,0.0,0
135,12,51,4.25,23,953,1.583,36,18,5703,0.0,0
206,17,22,1.294,2,1022,1.118,9,5,1830,0.1111,0
4,1,1,1.0,1,50,1.0,2,2,1490,0.0,1
27,1,9,9.0,9,190,3.0,12,6,2314,0.0,0
368,39,80,2.051,10,2075,3.051,78,25,2278,0.0128,1
28,5,5,1.0,1,75,0.6,6,4,1618,0.0,0
244,22,69,3.136,20,1266,1.273,57,27,2371,0.0,0
243,47,85,1.809,9,1136,1.957,11,4,300,0.0909,0
437,69,77,1.116,3,2835,1.348,46,9,574,0.0,0
81,8,9,1.125,2,554,1.0,4,2,315,0.0,0
254,22,57,2.591,6,1363,2.273,67,19,2405,0.0299,0
63,0,0,0.0,0,276,0.0,13,9,1240,0.0,0
113,13,36,2.769,5,643,2.615,30,15,3749,0.0,0
323,41,44,1.073,2,2323,1.0,40,9,1643,0.3,0
1584,102,145,1.422,4,7555,1.127,77,43,3754,0.0,0
67,2,5,2.5,4,455,1.5,39,5,1467,0.0,0
25,4,4,1.0,1,246,2.0,8,7,1204,0.0,0
43,5,9,1.8,3,266,1.0,1,1,107,0.0,0
266,27,53,1.963,6,1170,2.111,116,44,4241,0.2069,0
101,1,3,3.0,3,1680,0.0,106,32,4798,0.0094,1
52,4,12,3.0,7,220,2.5,3,2,760,0.0,0
811,51,56,1.098,3,3415,1.255,19,8,709,0.0,0
84,1,3,3.0,3,431,1.0,9,3,867,0.0,0
222,15,71,4.733,15,1131,1.2,58,18,3638,0.0,0
22,0,0,0.0,0,168,0.0,2,2,178,0.0,0
122,15,35,2.333,6,779,1.867,32,18,4789,0.0,0
21,1,1,1.0,1,129,1.0,0,0,0,0.0,0
107,8,18,2.25,4,964,1.0,2,1,210,0.0,0
808,63,98,1.556,6,2915,1.048,48,35,4623,0.0,0
231,47,50,1.064,2,1473,1.255,17,7,670,0.1176,0
34,3,6,2.0,3,186,3.0,4,2,887,0.0,0
226,15,72,4.8,16,1958,2.333,2,2,300,0.0,0
180,33,59,1.788,4,1029,2.242,58,22,3312,0.0517,0
3,0,0,0.0,0,14,0.0,2,2,2117,0.0,0
54,6,6,1.0,1,965,1.0,13,6,671,0.0,0
104,12,12,1.0,1,684,1.0,11,7,1588,0.0,0
8,1,1,1.0,1,622,1.0,14,5,1463,0.0,0
388,43,59,1.372,4,1617,1.0,24,19,2352,0.0417,0
299,45,47,1.044,3,1713,1.0,49,12,1937,0.0408,0
183,6,8,1.333,3,767,1.0,12,5,202,0.0,0
1098,60,379,6.317,57,6627,2.433,256,35,2974,0.0,0
6,0,0,0.0,0,22,0.0,1,1,153,0.0,0
98,1,3,3.0,3,1667,0.0,98,28,4324,0.0102,0
206,26,30,1.154,2,1038,1.154,40,18,3024,0.0,0
247,27,49,1.815,6,1159,1.556,45,18,5965,0.0,0
156,17,33,1.941,8,814,1.471,29,3,219,0.0,0
9,1,1,1.0,1,34,1.0,1,1,589,0.0,0
100,10,31,3.1,11,461,1.0,28,13,3000,0.0,0
8,1,1,1.0,1,64,0.0,1,1,233,0.0,0
1082,42,81,1.929,19,12139,1.238,157,16,1937,0.0,0
417,43,69,1.605,4,2243,1.093,45,21,2722,0.0,0
198,12,47,3.917,13,1052,4.0,18,10,619,0.0,0
108,10,59,5.9,47,708,1.4,27,12,3407,0.0,0
1140,120,423,3.525,31,8433,2.217,320,51,3094,0.0,0
309,28,65,2.321,5,1438,2.536,138,53,4208,0.1014,1
1608,114,146,1.281,7,10125,1.386,112,37,1550,0.0,0
148,17,42,2.471,7,954,2.059,33,10,1591,0.0606,0
25,3,4,1.333,2,96,1.0,2,2,465,0.0,0
15,2,3,1.5,2,183,0.5,0,0,0,0.0,0
65,4,14,3.5,5,424,2.75,37,11,3947,0.1622,0
105,18,21,1.167,3,626,1.056,14,7,641,0.0,0
436,54,85,1.574,5,2892,1.019,43,16,1243,0.0,0
43,0,0,0.0,0,179,0.0,3,2,45,0.0,0
920,74,352,4.757,35,6133,3.176,298,87,4218,0.0034,0
240,27,54,2.0,7,1342,1.815,23,11,2799,0.0,0
160,13,33,2.538,9,722,1.923,26,11,1645,0.0,0
301,28,58,2.071,7,1301,2.071,127,54,5831,0.2047,1
22,2,5,2.5,3,119,1.5,19,15,6284,0.0,0
736,62,64,1.032,2,3229,0.952,90,61,4732,0.0222,0
98,4,31,7.75,18,517,1.5,25,2,465,0.0,0
1058,80,364,4.55,31,9501,2.413,207,23,1928,0.0097,0
64,8,14,1.75,4,310,1.75,21,13,3202,0.0,0
12,0,0,0.0,0,65,0.0,7,4,1562,0.0,0
380,59,59,1.0,1,1711,1.0,14,5,331,0.0714,0
197,18,36,2.0,7,1722,1.0,16,5,968,0.0,0
508,61,158,2.59,14,3322,1.623,108,17,2729,0.0,0
185,18,32,1.778,3,1734,1.056,20,4,1131,0.0,0
212,37,75,2.027,13,1633,2.135,90,46,4896,0.0556,1
109,15,20,1.333,3,602,1.2,6,5,186,0.0,0
206,30,81,2.7,8,1475,2.133,51,26,3195,0.0196,0
60,5,5,1.0,1,263,1.0,3,3,312,0.0,0
480,41,44,1.073,4,2032,1.098,10,4,133,0.0,0
4506,369,409,1.108,10,29885,1.068,143,66,741,0.049,1
31,0,0,0.0,0,199,0.0,3,2,346,0.0,0
1104,50,325,6.5,38,7287,2.58,12,3,63,0.0,0
43,1,5,5.0,5,226,3.0,2,1,27,0.0,1
518,50,104,2.08,7,2545,2.28,70,32,2731,0.0143,0
61,8,9,1.125,2,335,1.0,2,1,17,0.5,0
248,25,27,1.08,3,1568,1.0,28,8,1844,0.0,0
64,8,14,1.75,4,305,1.75,24,15,3358,0.0,0
82,8,10,1.25,2,312,2.5,13,9,799,0.0,0
305,13,91,7.0,33,1739,2.769,69,27,4949,0.0,0
40,8,8,1.0,1,236,1.0,3,2,25,0.0,0
291,40,78,1.95,7,1912,2.25,36,16,778,0.0556,0
742,81,108,1.333,6,2726,1.0,14,5,186,0.0,0
51,9,19,2.111,6,522,1.333,7,4,1267,0.0,1
274,21,26,1.238,2,900,1.476,14,8,2429,0.0,0
337,36,55,1.528,7,1700,0.972,20,11,1653,0.05,0
75,7,11,1.571,3,500,1.0,7,6,911,0.0,0
558,84,180,2.143,7,3370,2.893,96,32,1922,0.0104,0
35,6,8,1.333,3,196,1.0,1,1,38,0.0,0
111,17,30,1.765,4,640,3.176,12,6,479,0.0833,0
212,40,42,1.05,2,1438,0.975,7,3,366,0.7143,1
140,16,39,2.438,7,932,1.938,27,8,1344,0.0741,0
630,7,34,4.857,12,2651,2.0,28,4,248,0.0357,0
31,5,5,1.0,1,207,1.2,2,2,800,0.0,0
452,47,114,2.426,17,2587,2.511,35,15,851,0.0,0
604,39,55,1.41,4,3960,1.692,14,11,549,0.0,0
6,0,0,0.0,0,40,0.0,0,0,0,0.0,0
72,2,2,1.0,1,253,1.0,6,4,249,0.0,0
325,5,151,30.2,137,2932,2.4,60,26,2315,0.0,0
120,6,46,7.667,19,962,1.333,13,10,1542,0.0,0
